"id","variable","value"
315152372910329,"male",0.440191
361358961563374,"male",0.41455
326823812078419,"male",0.462696
693929311335992,"male",0.452005
2812092535781949,"male",0.414588
759423911518035,"male",0.409682
342656083547437,"male",0.447626
261713714835546,"male",0.451335
317073746021432,"male",0.409382
2824459397789373,"male",0.403798
770063137128185,"male",0.462163
526121554880404,"male",0.451951
367190914282677,"male",0.411787
316135616281977,"male",0.429114
390262331961894,"male",0.425023
235312664551677,"male",0.47594
329202421829476,"male",0.441915
745332739653761,"male",0.453353
2322695771358593,"male",0.512263
5072384772787542,"male",0.404273
315791566316430,"male",0.425563
332071094806239,"male",0.541069
335436527661737,"male",0.568813
350096679707571,"male",0.494405
352330102475715,"male",0.560717
720676601995617,"male",0.634339
923439281490715,"male",0.420474
989050984874410,"male",0.500487
1041531879611571,"male",0.50716
1668960939920295,"male",0.425686
3273590666089965,"male",0.621652
2736299123277192,"male",0.487186
817653102316422,"male",0.437665
814439476015344,"male",0.459687
648954036006346,"male",0.435943
2826562954241775,"male",0.418521
333758724498725,"male",0.378544
345294713329231,"male",0.418891
320457372616279,"male",0.55731
1231265820576219,"male",0.463106
330804271600013,"male",0.417272
307998203829708,"male",0.428604
621697412053260,"male",0.475881
775084549912199,"male",0.415526
696987317826854,"male",0.463407
238672704148966,"male",0.412788
327098865208684,"male",0.475896
652071455434023,"male",0.552142
2683307708603192,"male",0.447888
368258374201695,"male",0.402263
317562089496313,"male",0.413559
890227098051953,"male",0.388191
335243881222472,"male",0.420621
344826769993020,"male",0.550866
601190137221313,"male",0.576701
642236446716401,"male",0.588786
3236138939835581,"male",0.412278
606352306723806,"male",0.565302
1308574229479527,"male",0.399646
1544073222431786,"male",0.453753
647076229255360,"male",0.433252
694300714765676,"male",0.416806
350719439396443,"male",0.50676
967236383777456,"male",0.589049
692185764718964,"male",0.490792
3929169680432300,"male",0.465266
607558876597892,"male",0.390049
757199238190383,"male",0.429963
345060099961143,"male",0.529557
841021063100138,"male",0.463297
932650447226441,"male",0.42161
2242248582587417,"male",0.440686
760103451477106,"male",0.3
613101456031785,"male",0.585197
1254412688225193,"male",0.517521
2807817299436765,"male",0.368136
692315108039316,"male",0.441325
3283231505128757,"male",0.462283
312330006533666,"male",0.47469
386670472349477,"male",0.452751
682764428989483,"male",0.499596
774006940100512,"male",0.392517
715604305657308,"male",0.459799
363785557960693,"male",0.441177
934755287033180,"male",0.422455
2456759357957503,"male",0.471312
715140729072449,"male",0.457387
641312280106776,"male",0.528773
323310569113399,"male",0.348777
311291830145064,"male",0.466667
322813288831288,"male",0.382861
613242642896462,"male",0.501501
318381909225334,"male",0.456987
379290636397298,"male",0.383004
347744529606440,"male",0.508264
748018715754537,"male",0.619574
643136876608699,"male",0.56
1055280741591876,"male",0.379881
348530053190562,"male",0.425182
1030647837386854,"male",0.461601
648128692748420,"male",0.617864
665901924028817,"male",0.509382
2699637506975096,"male",0.449744
236777641056534,"male",0.413675
427009294943027,"male",0.39165
691024248289423,"male",0.325035
675171260023018,"male",0.438245
688073365397473,"male",0.527425
4405624409509634,"male",0.421113
240997033938563,"male",0.377818
3561787640498711,"male",0.418622
359968225143191,"male",0.410214
346182299763609,"male",0.404472
892159237975415,"male",0.410162
1055382744880948,"male",0.434048
934010997096440,"male",0.506649
2913169385577026,"male",0.464057
332577617856930,"male",0.488706
3323189157763906,"male",0.607701
828036751068361,"male",0.492581
358789938595977,"male",0.44262
3204179973032379,"male",0.419831
334380247620049,"male",0.441559
3513015745410107,"male",0.454905
355333508926796,"male",0.578708
709172156339637,"male",0.420732
