"id","variable","value"
1743564189140737,"A1824",0.125
361944915013345,"A1824",0.275
1225727114478752,"A1824",0.131579
357747582138143,"A1824",0.222222
353969609251727,"A1824",0.153846
2683648178630762,"A1824",0.132167
1041058589677081,"A1824",0.3
646285319396919,"A1824",0.23718
266154484759630,"A1824",0.314286
377915169908134,"A1824",0.176471
3416851731685728,"A1824",0.0625
773391206551584,"A1824",0.18868
1223455978035164,"A1824",0.087838
3926032794092267,"A1824",0.086294
1272746873058841,"A1824",0.058823
264091884800952,"A1824",0.042781
253642119408780,"A1824",0.012766
628420937836767,"A1824",0.028359
3523131031083617,"A1824",0.114528
2405945926367269,"A1824",0.016168
341816393734820,"A1824",0.057477
1227386730952874,"A1824",0.038922
372339413803481,"A1824",0.029106
386508722534990,"A1824",0.097906
1487831524747877,"A1824",0.010289
757520154823262,"A1824",0.055341
2770323939891436,"A1824",0.114891
334332271000219,"A1824",0.030336
648283229408383,"A1824",0.079392
391038168570620,"A1824",0.083317
621525118526631,"A1824",0.052099
337678320795617,"A1824",0.038462
723740705153672,"A1824",0.114779
348585696348529,"A1824",0.067026
3659462460752578,"A1824",0.005601
271245473847054,"A1824",0.167907
1109114156150292,"A1824",0.219626
359182298786645,"A1824",0.238181
800978120649775,"A1824",0.178228
1125788434481444,"A1824",0.113631
311270070176576,"A1824",0.109376
1261432514197294,"A1824",0.180474
348125079675464,"A1824",0.237624
1193795791019320,"A1824",0.03936
677710192833244,"A1824",0.169492
345435769913136,"A1824",0.125177
684484958826967,"A1824",0.164706
792471931567503,"A1824",0.322635
750696202391913,"A1824",0.118175
1245979935768823,"A1824",0.152542
754813168707109,"A1824",0.247165
378215476505684,"A1824",0.10862
1775845409233653,"A1824",0.115385
640134156703137,"A1824",0.107798
3408549519210458,"A1824",0.065292
1039015399880512,"A1824",0.02809
548169652809117,"A1824",0.020202
3796036383742792,"A1824",0.091121
721169465407288,"A1824",0.07353
3343634909091358,"A1824",0.067347
339614983978863,"A1824",0.086777
689223738672774,"A1824",0.122138
326921465196054,"A1824",0.099052
951258105340739,"A1824",0.130291
256176605687316,"A1824",0.030076
624801065074644,"A1824",0.081495
1240636186286973,"A1824",0.065041
639227030070326,"A1824",0.071798
608260156534485,"A1824",0.068682
1798421450296107,"A1824",0.043243
347615376480344,"A1824",0.065173
669335493995975,"A1824",0.063395
630020454350989,"A1824",0.097485
1087770368338876,"A1824",0.119266
621601775186926,"A1824",0.045902
3274534215992733,"A1824",0.083587
1493949007460756,"A1824",0.009901
666053094295759,"A1824",0.013746
1077947142608515,"A1824",0.126437
391874401835449,"A1824",0.18963
2804040039919497,"A1824",0.023256
341691953844186,"A1824",0.073543
371659817323146,"A1824",0.073276
1033136483800136,"A1824",0.088235
635724073776915,"A1824",0.206963
333377267889427,"A1824",0.093044
944712256019821,"A1824",0.197675
960631951095590,"A1824",0.301724
699083667381009,"A1824",0.209822
334824494455992,"A1824",0.0461
678491589456995,"A1824",0.205882
1065627747173782,"A1824",0.038461
629560964599640,"A1824",0.05074
652935772305085,"A1824",0.038238
2738327999766142,"A1824",0.119048
847467462456744,"A1824",0.068966
