"Page.Name";"disclaimer";"spend";"Number.of.Ads.in.Library";"Specific_Party_uncleaned";"Specific_Party";"Broad_Sector_uncleaned";"Broad_Sector";"Support_Type_uncleaned";"Support_Type";"FEC_registered";"CMT_ID";"CMTE_ST";"CMTE_DSGN";"CMTE_PTY_AFFILIATION";"ORG_TP";"CONNECTED_ORG_NM";"CAND_ID";"CMTE_TP"
"Joe Biden";"BIDEN VICTORY FUND";53579067;52263;"DEMOCRATIC";"DEMOCRATIC";"Candidate Committee";"Candidate";"Authorized_campaign_committees";"campaign committee";"YES";"C00744946";"DC";"J";"";"";"NONE";"";"N"
"Donald J. Trump";"TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE";38433421;95545;"REPUBLICAN";"REPUBLICAN";"Candidate Committee";"Candidate";"Authorized_campaign_committees";"campaign committee";"YES";"C00618371";"NY";"J";"";"";"NONE";"";"N"
"Joe Biden";"BIDEN FOR PRESIDENT";20571704;32560;"DEMOCRATIC";"DEMOCRATIC";"Candidate Committee";"Candidate";"Authorized_campaign_committees";"campaign committee";"YES";"C00703975";"PA";"P";"DEM";"";"BIDEN VICTORY FUND";"P80000722";"P"
"Donald J. Trump";"DONALD J. TRUMP FOR PRESIDENT, INC.";19302391;163141;"REPUBLICAN";"REPUBLICAN";"Candidate Committee";"Candidate";"Authorized_campaign_committees";"campaign committee";"YES";"C00580100";"NY";"P";"REP";"";"";"P80001571";"P"
"Facebook App";"FACEBOOK, INC.";18849831;678;"NON-PARTISAN";"NONPARTISAN";"communications";"communications";"Political_Action_Commitees";"pac";"YES";"C00502906";"DC";"B";"";"C";"FACEBOOK INC.";"";"Q"
"Facebook";"FACEBOOK, INC.";17020580;978;"NON-PARTISAN";"NONPARTISAN";"communications";"communications";"Political_Action_Commitees";"pac";"YES";"C00502906";"DC";"B";"";"C";"FACEBOOK INC.";"";"Q"
"Instagram";"FACEBOOK, INC.";13242966;116;"NON-PARTISAN";"NONPARTISAN";"communications";"communications";"Political_Action_Commitees";"pac";"YES";"C00502906";"DC";"B";"";"C";"FACEBOOK INC.";"";"Q"
"Stop Republicans";"STOP REPUBLICANS";11411585;3039;"DEMOCRATIC";"DEMOCRATIC";"ideology";"Ideology/Single Issue";"Political_Action_Commitees";"pac";"YES";"C00633404";"IL";"U";"";"";"PROGRESSIVE TURNOUT PROJECT";"";"V"
"Team Trump";"TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE";11192763;22944;"REPUBLICAN";"REPUBLICAN";"Candidate Committee";"Candidate";"Authorized_campaign_committees";"campaign committee";"YES";"C00618371";"NY";"J";"";"";"NONE";"";"N"
"Progressive Turnout Project";"PROGRESSIVE TURNOUT PROJECT";8404326;4008;"DEMOCRATIC";"DEMOCRATIC";"ideology";"Ideology/Single Issue";"Political_Action_Commitees";"pac";"YES";"C00580068";"IL";"U";"";"";"";"";"W"
