"Advertiser_ID";"Advertiser_Name";"Specific_Party";"Support_Type_uncleaned";"Support_Type";"Broad_Sector";"Spend_USD";"Public_IDs_List";"FEC_registered"
"AR108481940364984320";"BIDEN FOR PRESIDENT";"DEMOCRATIC";"Authorized_campaign_committees";"campaign committee";"Candidate";83685300;"FEC ID C00703975";"YES"
"AR105500339708362752";"DONALD J. TRUMP FOR PRESIDENT, INC.";"REPUBLICAN";"Authorized_campaign_committees";"campaign committee";"Candidate";83495300;"FEC ID C00580100";"YES"
"AR488306308034854912";"TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE";"REPUBLICAN";"Authorized_campaign_committees";"campaign committee";"Candidate";46206600;"FEC ID C00618371";"YES"
"AR25310001757159424";"BIDEN VICTORY FUND";"DEMOCRATIC";"Authorized_campaign_committees";"campaign committee";"Candidate";15933100;"FEC ID C00744946";"YES"
"AR128018337845215232";"DNC SERVICES CORP / DEMOCRATIC NATIONAL COMMITTEE";"DEMOCRATIC";"Political_Party_Committee";"party committee";"Party";14749900;"FEC ID C00010603";"YES"
"AR110279573156921344";"SENATE LEADERSHIP FUND";"REPUBLICAN";"Political_Action_Commitees";"pac";"Party";12048400;"EIN ID 47-2994920,FEC ID C00571703,EIN ID 47-2994920,FEC ID C00571703";"YES"
"AR249615527784218624";"DSCC";"DEMOCRATIC";"Political_Party_Committee";"party committee";"Party";11731800;"FEC ID C00042366";"YES"
"AR194446432348930048";"NRSC";"REPUBLICAN";"Political_Party_Committee";"party committee";"Party";10498500;"FEC ID C00027466";"YES"
"AR276637125548441600";"REPUBLICAN NATIONAL COMMITTEE";"REPUBLICAN";"Political_Party_Committee";"party committee";"Party";8629300;"FEC ID C00003418";"YES"
"AR462410610177474560";"AMERICA FIRST ACTION, INC.";"REPUBLICAN";"Political_Action_Commitees";"pac";"Ideology/Single Issue";8255500;"FEC ID C00637512";"YES"
"AR568293442493349888";"PRIORITIES USA ACTION";"DEMOCRATIC";"Political_Action_Commitees";"pac";"Ideology/Single Issue";7643000;"FEC ID C00495861,EIN ID 37-1635320";"YES"
"AR157291735423123456";"NRCC";"REPUBLICAN";"Political_Party_Committee";"party committee";"Party";7474000;"FEC ID C00075820";"YES"
